resident_status_code	race_desc_victim	ethnicity_name_victim	pub_agency_name	offense_name	location_name	weapon_name	injury_name	relationship_name	incident_isweekend
R	White	Unknown	Mandan	Intimidation	Residence/Home	N/A	N/A	Victim Was Offender	False
R	White	Not Hispanic or Latino	Wahpeton	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Renville	Aggravated Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Possible Internal Injury	Victim Was Stranger	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Mandan	Aggravated Assault	Residence/Home	Knife/Cutting Instrument	Severe Laceration	Victim Was Stepchild	False
R	White	Hispanic or Latino	Bismarck	Aggravated Assault	Residence/Home	Knife/Cutting Instrument	Minor Injury	Victim Was Sibling	False
R	White	Not Hispanic or Latino	Jamestown	Rape	Residence/Home	Personal Weapons	None	Victim Was Other Family Member	False
N	White	Not Hispanic or Latino	Grand Forks	Intimidation	Residence/Home	N/A	N/A	Victim Was Parent	False
R	Unknown	Unknown	Fargo	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
N	White	Not Hispanic or Latino	Wahpeton	Intimidation	Restaurant	N/A	N/A	Victim was Employer	False
R	White	Not Hispanic or Latino	Burleigh	Fondling	Residence/Home	Personal Weapons	Possible Internal Injury	Victim Was Other Family Member	False
R	White	Not Specified	Grand Forks	Intimidation	Residence/Home	N/A	N/A	Victim Was Stranger	True
R	White	Not Hispanic or Latino	Cass	Simple Assault	Camp/Campground	Other	Minor Injury	Victim Was Spouse	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Parent	False
R	White	Not Hispanic or Latino	Minot	Aggravated Assault	Residence/Home	Personal Weapons	Unconscious	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Wahpeton	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	Black or African American	Not Hispanic or Latino	Minot	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Bowman	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Mandan	Fondling	Residence/Home	Personal Weapons	None	Victim Was Stepchild	False
R	Asian	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	True
R	Black or African American	Not Hispanic or Latino	Grand Forks	Intimidation	Residence/Home	N/A	N/A	Victim was Otherwise Known	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	None	None	Victim Was Child of Boyfriend or Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	None	None	Victim Was Child	True
R	White	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	True
N	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Child	False
R	White	Not Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
N	White	Not Hispanic or Latino	Dickinson	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	None	None	Victim Was Neighbor	False
R	White	Not Hispanic or Latino	Wahpeton	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	Black or African American	Not Hispanic or Latino	West Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Jamestown	Aggravated Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Unconscious	Victim Was Offender	False
R	White	Not Hispanic or Latino	Grand Forks	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Grand Forks	Fondling	Park/Playground	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Valley City	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	True
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	Black or African American	Not Hispanic or Latino	Williston	Aggravated Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Other/Unknown	Other	Minor Injury	Victim Was Acquaintance	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Other	Minor Injury	Victim was Otherwise Known	False
N/A	White	Not Hispanic or Latino	Burleigh	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Unknown	Cavalier	Simple Assault	Residence/Home	Unknown	Minor Injury	Victim Was Spouse	True
R	White	Hispanic or Latino	Wahpeton	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Ex-Spouse	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Mandan	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was In-law	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Offender	False
R	White	Unknown	Grand Forks	Simple Assault	Drug Store/Doctor's Office/Hospital	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Bismarck	Intimidation	Department/Discount Store	N/A	N/A	Victim was Ex-Spouse	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	Dickinson	Aggravated Assault	Residence/Home	Other	Unconscious	Victim Was Acquaintance	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Sibling	False
R	White	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Sibling	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	Other	None	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Standing Rock Agency	Simple Assault	Residence/Home	Other	None	Victim Was Other Family Member	True
R	White	Not Hispanic or Latino	Thompson	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	White	Not Specified	Grand Forks	Intimidation	Residence/Home	N/A	N/A	Victim Was Sibling	False
N	White	Not Hispanic or Latino	Bismarck	Fondling	Residence/Home	None	None	Victim Was Acquaintance	True
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	None	None	Victim Was Sibling	False
R	White	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Other	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Fargo	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim was Otherwise Known	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
N	American Indian or Alaska Native	Not Hispanic or Latino	Watford City	Fondling	Residence/Home	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
N	Black or African American	Unknown	Fargo	Simple Assault	Bar/Nightclub	Personal Weapons	None	Victim Was Other Family Member	True
R	White	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	North Dakota Highway Patrol	Intimidation	Jail/Prison/Penitentiary/Corrections Facility	N/A	N/A	Victim was Otherwise Known	False
N	American Indian or Alaska Native	Hispanic or Latino	Devils Lake	Fondling	Hotel/Motel/Etc.	Personal Weapons	None	Victim Was Acquaintance	True
N	Black or African American	Not Hispanic or Latino	Fargo	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim Was Acquaintance	False
N	American Indian or Alaska Native	Not Hispanic or Latino	North Dakota Highway Patrol	Negligent Manslaughter	Residence/Home	Motor Vehicle/Vessel	N/A	Victim Was Stranger	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Spouse	False
R	Black or African American	Not Specified	West Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim was Otherwise Known	False
R	White	Not Specified	Morton	Simple Assault	School-Elementary/Secondary	Other	Minor Injury	Victim Was Grandchild	False
N/A	Black or African American	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Relationship Unknown	False
N	American Indian or Alaska Native	Not Specified	Grand Forks	Rape	Residence/Home	Personal Weapons	None	Victim Was Stepsibling	False
R	White	Not Hispanic or Latino	Richland	Aggravated Assault	Farm Facility	Personal Weapons	Possible Internal Injury	Victim Was Child	True
R	White	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Other	Minor Injury	Victim Was Offender	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Fort Totten Agency	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Unknown	Dickinson	Aggravated Assault	Residence/Home	Handgun	None	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Other	None	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Department/Discount Store	Personal Weapons	Minor Injury	Victim Was Acquaintance	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Spouse	False
R	White	Not Hispanic or Latino	Watford City	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Williston	Aggravated Assault	Residence/Home	Knife/Cutting Instrument	Minor Injury	Victim Was Offender	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Intimidation	Cyberspace	N/A	N/A	Victim Was Boyfriend/Girlfriend	False
N	White	Not Hispanic or Latino	Mandan	Simple Assault	Bar/Nightclub	Personal Weapons	Minor Injury	Relationship Unknown	True
R	White	Not Specified	Grand Forks	Rape	Residence/Home	Personal Weapons	None	Victim was Otherwise Known	False
N	White	Not Hispanic or Latino	Grand Forks	Aggravated Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
N	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Stranger	False
R	White	Not Hispanic or Latino	Minot	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Minot	Aggravated Assault	Residence/Home	Asphyxiation	Possible Internal Injury	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	North Dakota State University	Intimidation	School-College/University	N/A	N/A	Relationship Unknown	True
R	Black or African American	Not Hispanic or Latino	Fargo	Intimidation	Other/Unknown	N/A	N/A	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Walsh	Simple Assault	Jail/Prison/Penitentiary/Corrections Facility	Other	Minor Injury	Victim was Otherwise Known	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Fort Totten Agency	Aggravated Assault	Service/Gas Station	Knife/Cutting Instrument	None	Victim Was Acquaintance	False
R	Black or African American	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Sibling	True
N/A	White	Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Other	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Fargo	Intimidation	Bar/Nightclub	N/A	N/A	Victim Was Stranger	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	True
R	White	Not Hispanic or Latino	Wells	Intimidation	Residence/Home	N/A	N/A	Victim Was Boyfriend/Girlfriend	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Acquaintance	True
R	White	Not Hispanic or Latino	West Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	Black or African American	Not Hispanic or Latino	West Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	N/A	False
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	School-Elementary/Secondary	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Valley City	Simple Assault	Residence/Home	Personal Weapons	None	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Wahpeton	Statutory Rape	Residence/Home	N/A	N/A	Victim Was Acquaintance	True
N	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Wahpeton	Simple Assault	School-Elementary/Secondary	Personal Weapons	None	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	North Dakota Highway Patrol	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Sibling	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Acquaintance	True
R	Asian	Not Hispanic or Latino	Grand Forks	Rape	Residence/Home	Unknown	None	Victim Was Acquaintance	True
R	White	Not Hispanic or Latino	Jamestown	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
N	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Bar/Nightclub	Personal Weapons	None	Victim Was Acquaintance	True
R	White	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Child	True
R	White	Not Hispanic or Latino	Grand Forks	Kidnapping/Abduction	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	Williston	Statutory Rape	Other/Unknown	N/A	N/A	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Mandan	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Williams	Intimidation	Residence/Home	N/A	N/A	Victim Was Stranger	True
R	White	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Neighbor	False
R	White	Not Hispanic or Latino	Dickinson	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Child	False
R	White	Unknown	West Fargo	Intimidation	School-Elementary/Secondary	N/A	N/A	Victim was Otherwise Known	False
N	White	Not Hispanic or Latino	Fargo	Simple Assault	Bar/Nightclub	Other	Minor Injury	Victim Was Acquaintance	True
U	White	Not Hispanic or Latino	Grand Forks	Simple Assault	School-Elementary/Secondary	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
N	Black or African American	Not Hispanic or Latino	Grand Forks	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim was Otherwise Known	True
R	White	Not Hispanic or Latino	Fargo	Intimidation	Service/Gas Station	N/A	N/A	Victim Was Acquaintance	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	School-Elementary/Secondary	Personal Weapons	None	Victim was Otherwise Known	False
R	Black or African American	Not Hispanic or Latino	Grand Forks	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim Was Stranger	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
R	Black or African American	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim was Otherwise Known	False
R	White	Hispanic or Latino	Valley City	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	True
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	False
R	Unknown	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Parent	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	True
R	White	Not Hispanic or Latino	Mandan	Intimidation	Cyberspace	N/A	N/A	Victim Was Acquaintance	False
R	Unknown	Unknown	Dickinson	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	True
R	White	Not Hispanic or Latino	Ransom	Intimidation	Government/Public Building	N/A	N/A	Victim Was Acquaintance	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Grand Forks	Aggravated Assault	Residence/Home	Asphyxiation	Possible Internal Injury	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	Minot	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	True
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Parking/Drop Lot/Garage	Personal Weapons	None	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Stranger	False
R	White	Not Specified	Grand Forks	Simple Assault	Bar/Nightclub	Personal Weapons	Minor Injury	Victim Was Stranger	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	True
N	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Intimidation	Residence/Home	N/A	N/A	Victim Was Sibling	False
R	White	Not Hispanic or Latino	Wells	Intimidation	Residence/Home	N/A	N/A	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Fort Totten Agency	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Sibling	True
R	White	Not Hispanic or Latino	Watford City	Intimidation	Residence/Home	N/A	N/A	Victim Was Neighbor	False
