resident_status_code	race_desc_victim	ethnicity_name_victim	pub_agency_name	offense_name	location_name	weapon_name	injury_name	relationship_name	incident_isweekend
N/A	White	Not Hispanic or Latino	Minot	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Offender	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	True
N	White	Not Hispanic or Latino	Fargo	Aggravated Assault	Residence/Home	Personal Weapons	Unconscious	Victim Was Friend	True
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Hotel/Motel/Etc.	Personal Weapons	Minor Injury	Victim Was Stranger	True
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Bar/Nightclub	Personal Weapons	Minor Injury	Victim Was Stranger	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Valley City	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Pembina	Fondling	Residence/Home	Personal Weapons	None	Victim Was Friend	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Pierce	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	True
N	Black or African American	Not Hispanic or Latino	Fargo	Aggravated Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Apparent Broken Bones	Victim Was Spouse	True
R	White	Not Hispanic or Latino	Dickinson	Aggravated Assault	Residence/Home	Personal Weapons	Other Major Injury	Victim was Ex-Spouse	True
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Fargo	Aggravated Assault	Residence/Home	Personal Weapons	Possible Internal Injury	Victim Was Parent	True
N/A	White	Not Hispanic or Latino	Williston	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
N	Black or African American	Not Hispanic or Latino	West Fargo	Simple Assault	School-Elementary/Secondary	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Rolette	Aggravated Assault	Bar/Nightclub	Personal Weapons	Apparent Broken Bones	Relationship Unknown	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Rape	Residence/Home	Personal Weapons	None	Victim Was Child	False
R	White	Not Hispanic or Latino	Dickinson	Intimidation	School-Elementary/Secondary	N/A	N/A	Victim Was Acquaintance	False
R	White	Unknown	West Fargo	Simple Assault	School-Elementary/Secondary	Personal Weapons	Minor Injury	Victim Was Sibling	False
R	White	Not Hispanic or Latino	Minot	Intimidation	Residence/Home	N/A	N/A	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Child of Boyfriend or Girlfriend	True
R	White	Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
N/A	White	Not Hispanic or Latino	Wahpeton	Intimidation	Residence/Home	N/A	N/A	Victim Was Friend	True
R	White	Not Specified	Beulah	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
N/A	White	Not Hispanic or Latino	Minot	Simple Assault	Convenience Store	Personal Weapons	Minor Injury	Victim was Otherwise Known	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Bar/Nightclub	Personal Weapons	None	Victim Was Child	False
R	White	Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	Black or African American	Not Hispanic or Latino	West Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	None	None	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Other	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	Ward	Intimidation	Residence/Home	N/A	N/A	Victim Was Neighbor	False
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
N	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Spouse	False
R	White	Not Hispanic or Latino	Jamestown	Aggravated Assault	Residence/Home	Asphyxiation	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Pembina	Rape	Residence/Home	Other	None	Victim Was Acquaintance	False
R	Black or African American	Not Hispanic or Latino	West Fargo	Aggravated Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
N	White	Hispanic or Latino	Richland	Simple Assault	Bar/Nightclub	Personal Weapons	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Hotel/Motel/Etc.	Personal Weapons	Minor Injury	Victim Was Friend	True
R	Black or African American	Not Hispanic or Latino	Fargo	Aggravated Assault	Residence/Home	Asphyxiation	Possible Internal Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Specified	Killdeer	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Child	False
R	White	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Offender	False
R	White	Not Hispanic or Latino	Fargo	Aggravated Assault	Residence/Home	Knife/Cutting Instrument	Severe Laceration	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Bar/Nightclub	Personal Weapons	Minor Injury	Victim Was Stranger	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	White	Not Hispanic or Latino	Beulah	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	True
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Parking/Drop Lot/Garage	Personal Weapons	Minor Injury	Relationship Unknown	False
N	White	Not Hispanic or Latino	Beulah	Intimidation	Parking/Drop Lot/Garage	N/A	N/A	Victim was Employer	True
N/A	White	Not Hispanic or Latino	Ward	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
N	White	Not Hispanic or Latino	Richland	Simple Assault	Parking/Drop Lot/Garage	Personal Weapons	Minor Injury	Victim Was Acquaintance	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	None	None	Victim Was Grandparent	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Standing Rock Agency	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Acquaintance	False
R	White	Hispanic or Latino	Fargo	Aggravated Assault	Residence/Home	Asphyxiation	Possible Internal Injury	Victim Was Spouse	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Acquaintance	True
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Stranger	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Bar/Nightclub	Personal Weapons	None	Victim was Otherwise Known	True
R	Black or African American	Not Hispanic or Latino	Grand Forks	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Relationship Unknown	True
R	White	Unknown	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	Divide	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	False
R	White	Not Hispanic or Latino	West Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	False
N	White	Not Specified	Mandan	Fondling	Residence/Home	None	None	Victim Was Friend	True
N	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
N	White	Not Hispanic or Latino	Bismarck	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
N	Unknown	Unknown	Williston	Simple Assault	Hotel/Motel/Etc.	Personal Weapons	Minor Injury	Victim was Otherwise Known	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Grand Forks	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Parent	False
R	White	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Spouse	False
N	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	True
N	White	Hispanic or Latino	Grand Forks	Simple Assault	Hotel/Motel/Etc.	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
N/A	White	Not Hispanic or Latino	Fargo	Simple Assault	Service/Gas Station	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim Was Acquaintance	False
R	Unknown	Unknown	Mandan	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	True
R	American Indian or Alaska Native	Hispanic or Latino	West Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Bismarck	Intimidation	Residence/Home	N/A	N/A	Victim Was Boyfriend/Girlfriend	True
R	White	Not Hispanic or Latino	Fargo	Aggravated Assault	Residence/Home	Blunt Object	Severe Laceration	Victim Was Spouse	False
R	White	Not Hispanic or Latino	Bismarck	Aggravated Assault	Residence/Home	Knife/Cutting Instrument	None	Victim Was Acquaintance	True
N	White	Not Hispanic or Latino	West Fargo	Fondling	Residence/Home	None	None	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	White	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Bismarck	Fondling	Other/Unknown	Personal Weapons	None	Victim Was Acquaintance	True
R	Black or African American	Not Hispanic or Latino	West Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Relationship Unknown	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Department/Discount Store	Personal Weapons	Minor Injury	Victim Was Stranger	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Fargo	Aggravated Assault	Residence/Home	Asphyxiation	None	Victim Was Offender	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	School-Elementary/Secondary	Personal Weapons	None	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Fargo	Intimidation	Highway/Road/Alley/Street/Sidewalk	N/A	N/A	Victim Was Stranger	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Department/Discount Store	Personal Weapons	Minor Injury	Victim Was Stranger	True
N	White	Not Hispanic or Latino	Williams	Aggravated Assault	Residence/Home	Blunt Object	Minor Injury	Victim Was Offender	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Burleigh	Aggravated Assault	Bar/Nightclub	Personal Weapons	Possible Internal Injury	Victim Was Friend	False
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	False
N/A	American Indian or Alaska Native	Not Hispanic or Latino	Fort Totten Agency	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Stranger	False
R	White	Not Specified	Morton	Simple Assault	School-Elementary/Secondary	Other	Minor Injury	Victim Was Other Family Member	False
R	White	Not Specified	Grand Forks	Simple Assault	Park/Playground	Other	Minor Injury	Victim Was Stranger	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Friend	False
R	White	Not Hispanic or Latino	Williston	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	False
R	White	Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
N	White	Hispanic or Latino	Grand Forks	Aggravated Assault	Hotel/Motel/Etc.	Handgun	Other Major Injury	Victim Was Acquaintance	True
R	White	Not Hispanic or Latino	Watford City	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Acquaintance	False
R	White	Not Hispanic or Latino	Mandan	Intimidation	School-Elementary/Secondary	N/A	N/A	Victim Was Offender	False
R	White	Not Hispanic or Latino	Fargo	Rape	Residence/Home	Personal Weapons	None	Victim Was Acquaintance	False
N/A	Asian	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Burleigh	Intimidation	Jail/Prison/Penitentiary/Corrections Facility	N/A	N/A	Victim Was Other Family Member	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Sibling	True
R	White	Not Specified	West Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Sibling	True
R	White	Not Hispanic or Latino	Minot	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Sibling	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Grand Forks	Simple Assault	Other/Unknown	Unknown	Minor Injury	Relationship Unknown	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Aggravated Assault	Department/Discount Store	Other	Other Major Injury	Victim Was Stranger	False
N	White	Not Hispanic or Latino	Napoleon	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Spouse	False
R	White	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	White	Not Hispanic or Latino	Mandan	Simple Assault	Park/Playground	Personal Weapons	None	Relationship Unknown	False
R	White	Not Hispanic or Latino	Minot	Aggravated Assault	Park/Playground	Personal Weapons	Minor Injury	Relationship Unknown	False
R	White	Not Hispanic or Latino	West Fargo	Rape	Residence/Home	Personal Weapons	None	Victim Was Stepsibling	False
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Other	Minor Injury	Victim Was Friend	False
R	White	Not Hispanic or Latino	Bismarck	Aggravated Assault	Field/Woods	Personal Weapons	Unconscious	Relationship Unknown	False
R	White	Not Hispanic or Latino	Grand Forks	Intimidation	Hotel/Motel/Etc.	N/A	N/A	Victim Was Boyfriend/Girlfriend	False
N	Black or African American	Not Hispanic or Latino	Grand Forks	Simple Assault	Jail/Prison/Penitentiary/Corrections Facility	Personal Weapons	None	Victim was Otherwise Known	True
R	White	Not Hispanic or Latino	Minot	Simple Assault	School-Elementary/Secondary	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	Black or African American	Unknown	Fargo	Simple Assault	Other/Unknown	Personal Weapons	None	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	Black or African American	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Fargo	Aggravated Assault	Bar/Nightclub	Personal Weapons	Unconscious	Victim Was Stranger	False
R	White	Not Hispanic or Latino	Morton	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
N	White	Not Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	True
R	Black or African American	Not Hispanic or Latino	Grand Forks	Intimidation	Residence/Home	N/A	N/A	Victim Was Acquaintance	True
R	White	Not Hispanic or Latino	West Fargo	Intimidation	Residence/Home	N/A	N/A	Victim was Ex-Spouse	False
R	White	Not Hispanic or Latino	Minot	Aggravated Assault	Residence/Home	Personal Weapons	Other Major Injury	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Turtle Mountain Agency	Simple Assault	Residence/Home	None	None	Victim Was Parent	False
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
U	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Hotel/Motel/Etc.	Personal Weapons	Minor Injury	Victim Was Offender	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Mandan	Intimidation	Residence/Home	N/A	N/A	Victim Was Child	True
R	White	Not Hispanic or Latino	Fargo	Intimidation	Residence/Home	N/A	N/A	Victim Was Spouse	True
N/A	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Stranger	True
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
R	White	Unknown	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend)	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Bar/Nightclub	Personal Weapons	Minor Injury	Victim Was Stranger	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Parent	True
R	White	Not Hispanic or Latino	Dickinson	Aggravated Assault	Bar/Nightclub	Personal Weapons	Unconscious	Victim Was Stranger	True
R	White	Not Hispanic or Latino	Wahpeton	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	True
N	American Indian or Alaska Native	Not Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	True
R	Black or African American	Not Hispanic or Latino	Wahpeton	Aggravated Assault	Residence/Home	Personal Weapons	Possible Internal Injury	Victim Was Sibling	False
R	White	Not Hispanic or Latino	Williston	Simple Assault	Residence/Home	Other	Minor Injury	Victim Was Spouse	True
R	Black or African American	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Parent	False
R	White	Unknown	Fargo	Statutory Rape	Residence/Home	N/A	N/A	Victim Was Boyfriend/Girlfriend	False
R	White	Not Hispanic or Latino	Valley City	Simple Assault	Residence/Home	Personal Weapons	None	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Offender	False
R	American Indian or Alaska Native	Not Hispanic or Latino	Bismarck	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Sibling	True
N	Black or African American	Not Hispanic or Latino	Devils Lake	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Spouse	False
N	American Indian or Alaska Native	Not Hispanic or Latino	Towner	Simple Assault	Highway/Road/Alley/Street/Sidewalk	Personal Weapons	Minor Injury	Victim Was Boyfriend/Girlfriend	True
R	American Indian or Alaska Native	Not Hispanic or Latino	Grand Forks	Simple Assault	Residence/Home	Personal Weapons	Minor Injury	Victim Was Child	False
R	Unknown	Unknown	Bismarck	Rape	Residence/Home	None	None	Victim was Otherwise Known	False
R	White	Not Hispanic or Latino	Fargo	Simple Assault	Residence/Home	Personal Weapons	None	Victim Was Boyfriend/Girlfriend	False
